,Year,Crop Type,Yield (kg/ha),Avg Temp (°C),Total Rainfall (mm),Avg Sunlight (hours/day),Soil pH,Soil Moisture (%),Fertilizer Used (kg/ha),Pesticide Used (L/ha),Region
0,2024,Wheat,7374,17.7,402,10.0,5.8,43.5,134,5.4,South
1,2021,Wheat,6980,28.7,370,7.3,6.7,42.2,102,6.2,South
2,2022,Rice,7630,25.7,373,6.5,6.4,44.6,150,5.7,West
3,2024,Wheat,7722,27.3,352,7.7,6.3,27.8,116,5.0,North
4,2020,Wheat,6294,23.1,382,7.8,6.5,33.1,134,6.4,South
5,2022,Corn,5963,28.1,382,11.2,6.7,26.9,101,5.4,South
6,2022,Wheat,6407,28.3,364,7.8,6.6,34.0,146,6.7,North
7,2024,Rice,6605,21.6,381,10.7,6.4,25.8,108,6.3,West
8,2019,Wheat,7565,21.9,324,9.5,5.9,38.2,147,5.3,West
9,2020,Corn,8299,23.6,368,6.6,6.2,33.4,112,5.7,West
10,2024,Wheat,8145,17.5,349,6.9,6.7,42.3,109,6.8,North
11,2020,Wheat,8229,29.9,328,6.5,6.7,28.9,121,6.0,North
12,2020,Wheat,8465,21.7,398,8.4,6.2,32.3,145,6.4,South
13,2022,Corn,5250,23.1,363,11.8,6.3,24.0,159,6.9,West
14,2021,Rice,5816,26.8,319,7.1,6.5,33.8,153,6.4,West
15,2020,Rice,4681,20.9,297,8.1,6.2,25.7,152,4.6,West
16,2023,Corn,6404,19.6,326,10.9,5.9,43.6,116,5.1,West
17,2022,Corn,7154,18.7,280,11.3,6.5,44.0,120,5.2,West
18,2019,Wheat,7649,23.9,318,10.4,6.4,35.6,155,5.8,North
19,2021,Rice,5460,17.1,391,8.8,6.0,33.2,139,5.4,North
20,2023,Corn,8225,26.2,302,9.9,6.6,34.0,155,6.0,North
21,2023,Rice,4604,23.0,293,8.7,6.6,31.3,139,6.8,West
22,2019,Wheat,5784,23.9,316,11.1,6.0,33.2,120,6.3,West
23,2021,Corn,7154,20.4,350,8.5,5.9,34.5,110,4.5,North
24,2022,Rice,7794,19.3,355,10.9,6.0,44.2,105,6.9,South
25,2018,Rice,5489,26.1,402,9.5,6.3,32.4,142,5.0,North
26,2021,Wheat,4983,19.7,286,9.1,6.1,39.8,106,5.4,North
27,2019,Corn,6225,27.1,388,9.9,6.5,39.4,150,4.7,North
28,2023,Rice,6676,19.6,400,7.8,6.3,44.1,149,4.9,West
29,2022,Wheat,6866,25.0,293,8.4,6.5,25.1,105,6.9,South
30,2021,Rice,5206,25.4,334,10.8,6.0,25.8,97,6.0,North
31,2018,Wheat,7056,23.6,336,8.3,6.4,36.1,142,5.1,North
32,2018,Rice,4519,30.0,283,9.9,6.7,34.0,126,5.0,South
33,2020,Rice,8382,21.9,328,10.0,6.4,37.0,111,6.6,North
34,2020,Wheat,5251,28.5,360,11.2,6.5,35.2,136,4.8,North
35,2024,Corn,4734,19.2,314,8.7,6.8,40.1,106,5.4,West
36,2019,Wheat,6120,21.4,389,11.4,6.7,42.7,129,5.5,North
37,2021,Corn,5105,18.9,381,12.0,6.0,35.2,124,4.7,West
38,2021,Rice,5053,24.8,400,7.0,6.6,25.9,96,5.5,West
39,2024,Rice,6399,25.3,289,10.3,6.8,26.3,103,6.5,North
40,2023,Wheat,7921,22.9,392,10.2,6.6,28.7,135,6.5,South
41,2023,Wheat,7000,26.4,281,8.7,5.9,42.1,129,5.0,North
42,2024,Corn,5085,28.3,342,7.8,6.4,36.2,124,6.4,North
43,2023,Corn,5483,27.1,399,6.2,6.5,31.9,122,5.2,South
44,2020,Corn,8448,20.1,295,9.8,5.9,31.6,98,6.3,South
45,2021,Wheat,8080,21.2,297,7.9,6.4,25.3,139,6.3,South
46,2024,Rice,6150,21.9,321,9.3,6.7,29.8,143,6.6,South
47,2021,Wheat,4922,19.6,403,6.7,6.1,31.6,148,7.0,South
48,2018,Rice,7761,21.7,329,6.3,6.6,25.8,158,4.7,South
49,2020,Wheat,7696,20.1,282,10.8,6.4,32.7,113,5.1,North
50,2022,Wheat,6553,29.9,351,6.7,6.5,32.2,130,6.1,West
51,2020,Corn,4957,27.2,395,6.8,6.1,44.0,113,5.9,North
52,2024,Rice,6414,28.2,404,9.4,6.6,33.9,116,6.6,North
53,2022,Wheat,7101,29.0,406,10.4,6.4,37.8,131,4.8,North
54,2018,Wheat,8141,25.6,284,6.0,6.3,42.5,140,5.7,West
55,2024,Rice,7069,19.3,363,8.7,6.3,42.6,126,5.4,South
56,2019,Wheat,7660,26.9,302,9.8,6.1,37.0,141,4.7,North
57,2021,Rice,5345,17.2,352,10.4,6.0,34.9,117,6.4,South
58,2018,Corn,7682,18.5,376,11.7,6.6,30.7,147,5.7,South
59,2021,Corn,5050,17.4,353,6.1,6.0,33.5,124,4.7,West
60,2023,Rice,5920,18.8,306,11.4,6.0,25.6,108,4.5,West
61,2019,Corn,6494,26.8,341,11.8,6.7,27.5,117,4.6,South
62,2019,Rice,8250,28.5,286,11.2,5.9,31.9,159,5.5,South
63,2018,Wheat,6558,20.6,289,11.7,6.0,24.5,129,6.8,South
64,2019,Wheat,6145,18.5,306,6.7,5.9,39.0,141,5.1,North
65,2022,Rice,4996,20.5,347,12.0,6.8,36.4,126,4.8,West
66,2019,Wheat,7587,25.4,327,10.6,5.9,42.0,130,6.0,West
67,2021,Corn,7604,21.6,386,6.4,5.8,27.5,107,5.7,South
68,2021,Wheat,7292,29.5,346,10.1,6.4,43.6,146,6.3,West
69,2024,Wheat,7036,18.7,368,10.2,6.5,42.9,143,5.4,South
70,2021,Rice,7759,29.9,350,9.8,6.0,35.3,123,5.1,West
71,2024,Corn,7283,17.2,325,11.2,6.1,31.7,110,6.4,North
72,2021,Wheat,8142,22.9,377,10.5,6.1,42.2,114,5.7,North
73,2022,Wheat,7005,20.3,371,7.0,6.5,43.8,134,6.6,North
